#rank|epoch|iteration_no|event_id|event_operation|device_us|cpu_us|time_range_start_us|time_range_end_us|time_range_duration_us|self_cpu_memory_usage|self_cpu_percent|self_cpu_time_total|self_cpu_time_total_str|self_cuda_memory_usage|self_cuda_time_total|self_device_memory_usage|self_device_time_total|self_device_time_total_str|sequence_nr|stack|thread|total_cpu_percent|total_device_percent|use_device
0|1|1|164|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|77.15|0.00|763187.67|763264.82|77.15|0.00|-1.00|0.00|0.000us|0.00|77.15|0.00|77.15|77.152us|-1||1|-1.00|-1.00|cuda
0|1|1|165|Memset (Device)|11.68|0.00|763273.84|763285.52|11.68|0.00|-1.00|0.00|0.000us|0.00|11.68|0.00|11.68|11.680us|-1||1|-1.00|-1.00|cuda
0|1|1|166|turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn|238.37|0.00|763292.82|763531.19|238.37|0.00|-1.00|0.00|0.000us|0.00|238.37|0.00|238.37|238.367us|-1||1|-1.00|-1.00|cuda
0|1|1|167|void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})|87.14|0.00|763532.05|763619.19|87.14|0.00|-1.00|0.00|0.000us|0.00|87.14|0.00|87.14|87.136us|-1||1|-1.00|-1.00|cuda
0|1|1|168|void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})|67.20|0.00|763619.67|763686.86|67.20|0.00|-1.00|0.00|0.000us|0.00|67.20|0.00|67.20|67.199us|-1||1|-1.00|-1.00|cuda
0|1|1|169|void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})|78.27|0.00|763687.44|763765.71|78.27|0.00|-1.00|0.00|0.000us|0.00|78.27|0.00|78.27|78.272us|-1||1|-1.00|-1.00|cuda
0|1|1|170|fmha_cutlassF_f16_aligned_32x128_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 32, 128, 128, true, true>::Params)|336.93|0.00|763766.16|764103.09|336.93|0.00|-1.00|0.00|0.000us|0.00|336.93|0.00|336.93|336.926us|-1||1|-1.00|-1.00|cuda
0|1|1|171|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|27.26|0.00|764103.82|764131.09|27.26|0.00|-1.00|0.00|0.000us|0.00|27.26|0.00|27.26|27.264us|-1||1|-1.00|-1.00|cuda
0|1|1|172|void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)|44.51|0.00|764131.66|764176.17|44.51|0.00|-1.00|0.00|0.000us|0.00|44.51|0.00|44.51|44.512us|-1||1|-1.00|-1.00|cuda
0|1|1|173|Memset (Device)|10.69|0.00|764186.67|764197.36|10.69|0.00|-1.00|0.00|0.000us|0.00|10.69|0.00|10.69|10.688us|-1||1|-1.00|-1.00|cuda
